Name,Population,Demand (education),Demand (household),Demand (peak institution),Demand (commercial),Demand (production),Demand (health),Demand (peak),Demand (lighting),Demand (total),Demand (peak household),Growth (household),Growth (population),Technology (standalone),Technology (standalone cost),Cost (grid extension initial),Cost (grid extension total),Cost (grid extension recurring),Cost (photovoltaic diesel initial),Cost (photovoltaic diesel total),Cost (photovoltaic diesel recurring),Cost (diesel initial),Cost (diesel total),Cost (diesel recurring),Cost (grid internal initial),Cost (grid internal total),Cost (grid internal recurring),Metric
OUASSOUMASSAL,173.0,102.222838543,2247.24784785,0.910652582629,69.4653040255,466.57343397,1741.41048486,1.52633692451,108.540399029,5571.12977445,0.615684341877,22,217,diesel,246424.893696,20.0,26.5542049128,1.06666666667,319622.5,605390.556735,46507.4352381,23667.5,246424.893696,36252.74,33260.0,82958.4630861,8088.196,6155.95274446
NDEMBA I,79.0,100.036072994,1017.02846867,0.757841314018,67.3596772974,210.056528992,1713.78597847,1.03647925064,107.410148688,3783.14926484,0.278637936623,10,99,photovoltaic diesel,182219.363585,20.0,26.5542049128,1.06666666667,64022.5,182219.363585,19235.9952381,11067.5,208008.863675,32051.3,17300.0,51796.7057535,5614.18,4911.56328199
NORAYNI,47.0,99.3515535814,609.400638965,0.707596359566,66.7166916381,125.65244905,1705.12360183,0.874555438735,107.063313614,3192.12735138,0.166959079168,6,59,photovoltaic diesel,131969.229869,20.0,26.5542049128,1.06666666667,38222.5,131969.229869,15256.8485714,6867.5,195203.520335,30650.82,11980.0,41409.4533093,4789.508,3410.37424607
BEUT LAMINE,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
MAKA NDIAYE,96.0,100.406569909,1221.32570352,0.783196508357,67.7109667746,252.480122765,1718.47136859,1.11780629014,107.599283607,4079.99295902,0.334609781787,12,120,photovoltaic diesel,207344.430444,20.0,26.5542049128,1.06666666667,76922.5,207344.430444,21225.5685714,13167.5,214411.535345,32751.54,19960.0,56990.3319756,6026.516,5662.15779995
DIAMAGUEUNE OUOLOF,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
RAYETTE BAMBA,35.0,99.0853252964,406.057107636,0.682937544534,66.4687686427,83.6692499827,1701.75247624,0.794186067174,106.92934561,2898.77914519,0.11124852264,4,43,photovoltaic diesel,83607.0723368,20.0,26.5542049128,1.06666666667,11822.5,83607.0723368,11682.6085714,4767.5,188800.848665,29950.58,9320.0,36215.8270872,4377.172,1784.69833329
GABANE OUOLOF,540.0,113.721331767,7328.71563264,1.56417928703,81.6714176329,1557.44118433,1885.74556677,3.57204658364,114.979392623,13037.9700303,2.00786729661,70,677,diesel,400089.013778,20.0,26.5542049128,1.06666666667,1970457.0953,3220227.55038,203394.386225,74067.5,400089.013778,53058.5,97100.0,207605.492416,17984.26,7248.70211682
NDIAYENE PEULH I,198.0,102.841570289,2556.90310324,0.949606376965,70.0748119562,531.621496731,1749.21429317,1.65012777511,108.866146902,6022.96637916,0.700521398148,25,248,diesel,256028.901201,20.0,26.5542049128,1.06666666667,363272.5,680226.44684,51582.7952381,26817.5,256028.901201,37303.1,37250.0,90748.9024192,8706.7,6224.24958023
THIELEMANE,36.0,99.1183713005,406.083119644,0.683103561033,66.4994762623,83.6815489086,1702.17098754,0.794359210251,106.945946147,2899.41111742,0.111255649218,4,45,photovoltaic diesel,83607.0723368,20.0,26.5542049128,1.06666666667,11822.5,83607.0723368,11682.6085714,4767.5,188800.848665,29950.58,9320.0,36215.8270872,4377.172,1784.69833329
GNANDOUL I,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
KEUR GOUMBA FAYE,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
NDIEUMB FALL,817.0,126.777290417,11438.4960479,2.12430128531,97.4556811866,2479.07450071,2048.41545354,5.25813581899,123.147404641,19192.1957393,3.13383453367,106,1025,diesel,515337.10384,20.0,26.5542049128,1.06666666667,4595862.21769,7402672.94708,456795.520516,111867.5,515337.10384,65662.82,154980.0,357205.740543,32911.308,5955.04040949
