Name,Population,Demand (education),Demand (household),Demand (peak institution),Demand (commercial),Demand (production),Demand (health),Demand (peak),Demand (lighting),Demand (total),Demand (peak household),Growth (household),Growth (population),Technology (standalone),Technology (standalone cost),Cost (grid extension initial),Cost (grid extension total),Cost (grid extension recurring),Cost (photovoltaic diesel initial),Cost (photovoltaic diesel total),Cost (photovoltaic diesel recurring),Cost (diesel initial),Cost (diesel total),Cost (diesel recurring),Cost (grid internal initial),Cost (grid internal total),Cost (grid internal recurring),Metric
KEUR MOR ARENE,61.0,99.6391295386,711.366242483,0.720736131976,66.9858545625,146.781604926,1708.76371532,0.91563099293,107.20860874,3342.0531242,0.194894860954,7,76,photovoltaic diesel,144531.763298,20.0,26.5542049128,1.06666666667,44672.5,144531.763298,16251.6352381,7917.5,198404.85617,31000.94,13310.0,44006.2664204,4995.676,3785.67150505
BAITY GUEYE,424.0,109.506021041,5704.89824266,1.35074602745,76.9920543751,1202.94521422,1832.98281844,2.91373184735,112.52870568,10635.1212428,1.56298581991,55,532,diesel,352068.976252,20.0,26.5542049128,1.06666666667,1217789.47128,2030561.39384,132274.887486,58317.5,352068.976252,47806.7,77150.0,168653.295751,14891.74,6907.21793796
AINOU MERINA,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
MBAYE MBAYE MAYORO,59.0,99.605042621,711.318866658,0.720560792838,66.9538768334,146.759438251,1708.332317,0.915442674115,107.19135508,3341.36576052,0.194881881276,7,74,photovoltaic diesel,144531.763298,20.0,26.5542049128,1.06666666667,44672.5,144531.763298,16251.6352381,7917.5,198404.85617,31000.94,13310.0,44006.2664204,4995.676,3785.67150505
GOBAR,343.0,106.890255508,4538.29910591,1.20064455346,74.2032312779,951.941178329,1800.1614214,2.44401417152,111.058774709,8920.65172603,1.24336961806,44,430,diesel,316854.282067,20.0,26.5542049128,1.06666666667,936722.5,1577806.13033,104333.408571,46767.5,316854.282067,43955.38,62520.0,140088.351529,12623.892,6656.79620679
KEUR NDARY,35.0,99.0853252964,406.057107636,0.682937544534,66.4687686427,83.6692499827,1701.75247624,0.794186067174,106.92934561,2898.77914519,0.11124852264,4,43,photovoltaic diesel,83607.0723368,20.0,26.5542049128,1.06666666667,11822.5,83607.0723368,11682.6085714,4767.5,188800.848665,29950.58,9320.0,36215.8270872,4377.172,1784.69833329
WAKHALDIAM,173.0,102.222838543,2247.24784785,0.910652582629,69.4653040255,466.57343397,1741.41048486,1.52633692451,108.540399029,5571.12977445,0.615684341877,22,217,diesel,246424.893696,20.0,26.5542049128,1.06666666667,319622.5,605390.556735,46507.4352381,23667.5,246424.893696,36252.74,33260.0,82958.4630861,8088.196,6155.95274446
LEONA,1088.0,144.921663316,16013.7823766,2.77635046379,122.165178978,3535.40045695,2273.31288182,7.16368810121,135.759776381,26147.4615694,4.38733763742,142,1365,diesel,630585.193902,20.0,26.5542049128,1.06666666667,8559671.25093,13600165.2799,820317.191141,149667.5,630585.193902,78267.14,202860.0,450691.01254,40333.356,6774.60243876
THIAR SECK,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
SANTHIOU DABAYE,17.0,98.7261478769,202.887678178,0.657861458966,66.1362267453,41.7677474768,1697.20246474,0.71344712422,106.749437877,2604.0820034,0.0555856652543,2,21,photovoltaic diesel,66382.7225776,20.0,26.5542049128,1.06666666667,3647.5,66382.7225776,10209.8685714,2667.5,182398.176995,29250.34,6660.0,31022.2008651,3964.836,1331.63549158
